total_memory(B),available_memory(B),used_memory(B),free_memory(B),percent_used(%),active_memory(B),inactive_memory(B),buffers(B),cached(B),shared_memory(B),slab(B)
7910813696,6855438336,773562368,6698229760,13.3,113283072,630804480,18022400,420999168,3678208,187359232
7910813696,6855696384,773304320,6698487808,13.3,113283072,630804480,18022400,420999168,3678208,187887616
7910813696,6855696384,773296128,6698487808,13.3,113287168,630902784,18022400,421007360,3678208,187789312
7910813696,6855696384,773296128,6698487808,13.3,113287168,630902784,18022400,421007360,3678208,187355136
7910813696,6856679424,772313088,6699470848,13.3,113287168,630153216,18022400,421007360,3678208,187609088
7910813696,6856761344,772239360,6699544576,13.3,113295360,629956608,18022400,421007360,3678208,187629568
7910813696,6856503296,772485120,6699286528,13.3,113295360,629956608,18030592,421011456,3678208,187355136
7910813696,6856503296,772485120,6699286528,13.3,113295360,629956608,18030592,421011456,3678208,187658240
7910813696,6856503296,772485120,6699286528,13.3,113295360,629956608,18030592,421011456,3678208,187658240
7910813696,6856503296,772485120,6699286528,13.3,113295360,629956608,18030592,421011456,3678208,187355136
7910813696,6858887168,770109440,6701662208,13.3,113303552,630009856,18030592,421011456,3678208,187621376
7910813696,6858895360,770101248,6701662208,13.3,113303552,630026240,18038784,421011456,3678208,187678720
7910813696,6858895360,770101248,6701662208,13.3,113303552,630026240,18038784,421011456,3678208,187383808
7910813696,6858895360,770101248,6701662208,13.3,113303552,630026240,18038784,421011456,3678208,187637760
7910813696,6858895360,770101248,6701662208,13.3,113303552,630026240,18038784,421011456,3678208,187580416
7910813696,6858895360,770101248,6701662208,13.3,113303552,630026240,18038784,421011456,3678208,187392000
7910813696,6858895360,770101248,6701662208,13.3,113303552,630026240,18046976,421003264,3678208,187482112
7910813696,6858895360,770093056,6701662208,13.3,113303552,630026240,18046976,421011456,3678208,187867136
7910813696,6859898880,769105920,6702649344,13.3,113319936,630026240,18046976,421011456,3678208,187613184
7910813696,6859898880,769105920,6702649344,13.3,113319936,630026240,18046976,421011456,3678208,187613184
7910813696,6859943936,769060864,6702694400,13.3,113319936,630022144,18046976,421011456,3678208,187699200
7910813696,6857867264,771137536,6700617728,13.3,113319936,630022144,18055168,421003264,3678208,187453440
7910813696,6857875456,771129344,6700617728,13.3,113328128,630026240,18055168,421011456,3678208,188207104
7910813696,6857875456,771129344,6700617728,13.3,113328128,630026240,18055168,421011456,3678208,187682816
7910813696,6857875456,771129344,6700617728,13.3,113328128,630026240,18055168,421011456,3678208,187990016
7910813696,6857875456,771129344,6700617728,13.3,113328128,630026240,18055168,421011456,3678208,187449344
7910813696,6857875456,771129344,6700617728,13.3,113328128,630026240,18063360,421003264,3678208,187662336
7910813696,6858125312,770879488,6700867584,13.3,113328128,630026240,18063360,421003264,3678208,187768832
7910813696,6858133504,770854912,6700875776,13.3,113328128,630026240,18071552,421011456,3678208,187424768
7910813696,6858133504,770854912,6700875776,13.3,113328128,630026240,18071552,421011456,3678208,187580416
7910813696,6858133504,770854912,6700875776,13.3,113328128,630026240,18071552,421011456,3678208,187744256
7910813696,6860267520,768737280,6702993408,13.3,113344512,630026240,18071552,421011456,3678208,187424768
